corese_name,teacher_name,intended_for,course_info,requirments,category,allow_valenteres,valentieres_age,max_valetires,additional_info
לשבור את השבר 2,"יפעת שורר
 טניה אוסטלוב",ה-ו,"בקורס נגלוש מעבר לקירות הכיתה ונגלה את נפלאות השברים, המספרים העשרוניים והאחוזים. נחקור את המשמעויות השונות של השבר, נייצג אותו בדרכים מגוונות ונגלה את הקשר בין סוגי המספרים.","דרישות מקדימות: שליטה בנושאים שנלמדו בקורס ""לשבור את השבר 1"" כולל הבנה בסיסית של משמעויות השבר הפשוט. 
 ציוד: קלמר מלא ומחברת משבצות גדולה (אפשר מחברת אחת לכל קורסי החשבון). השתתפות בשעתיים שבועיות",מתמטיקה,TRUE,ו' ומעלה,2,ילד/ה שהשלימ/ה בהצלחה את הקורס ועם הרבה סבלנות לעזור לאחרים :-)
עולם המספרים הגדולים 2,טניה אוסטלוב,ה-ו,"חשבתם שאתם יודעים הכל אבל הכל על מספרים שלמים?? תחשבו שוב... בקורס נעמיק את הידע ונחשף לנושאים ממש מתקדמים (ומעניינים) כמו איך יודעים אם מספר מתחלק במספר אחר, מבלי לחשב? מה זה אומר לפרק מספר לגורמים? ומהו הקיצור של כפל חוזר?","דרישות מקדימות: שליטה בנושאים שנלמדו בקורס ""עולם המספרים הגדולים 1"", כולל הכרות עם מספרים בתחום המיליון וארבע פעולות חשבון. 
 ציוד: קלמר מלא ומחברת משבצות גדולה (אפשר מחברת אחת לכל קורסי החשבון).",מתמטיקה,TRUE,ו' ומעלה,2,ילד/ה שהשלימ/ה בהצלחה את הקורס ועם הרבה סבלנות לעזור לאחרים :-)
לשבור את השבר 3,"עדי בדר
 טניה אוסטלוב",ה-ו,"זה הזמן שלכם להפוך למומחים בשברים! בקורס נצלול עוד יותר לעומק... נגלה ביחד את התשובות לשאלות מורכבות כמו - איך מוצאים חלק של חלק? מה המשמעות של ""כפל מבצעים""? למה משמשים האחוזים בחיי היום? ועוד...","דרישות מקדימות: שליטה בנושאים שנלמדו בקורס ""לשבור את השבר 2"", כולל משמעויות השבר הפשוט והמספר העשרוני, צמצום והרחבה ומכנה משותף. 
 ציוד: קלמר מלא ומחברת משבצות גדולה (אפשר מחברת אחת לכל קורסי החשבון). השתתפות בשעתיים שבועיות",מתמטיקה,TRUE,"חט""ב-תיכון",2,ילד/ה שהשלימ/ה בהצלחה את הקורס ועם הרבה סבלנות לעזור לאחרים :-)
עולם המספרים הגדולים 3,יפעת שורר,ה-ו,"בקורס זה נחבר את כל הידע המתמטי שרכשנו במהלך היסודי ונפצח בעזרתו אתגרים חדשים: נחקור סדרות, נבצע סקרים ומחקרים ונכין עבודת חקר, נפתור בעיות מורכבות ועוד.","מיועד לילדים הלומדים במקביל לשבור את השבר 3. 
 ציוד: קלמר מלא ומחברת משבצות גדולה (אפשר מחברת אחת לכל קורסי החשבון). ",מתמטיקה,TRUE,"חט""ב-תיכון",2,ילד/ה שהשלימ/ה בהצלחה את הקורס ועם הרבה סבלנות לעזור לאחרים :-)
ספורט ה-ו ,מיקו זנקו,ה-ו,"שיפור ושליטה במיומנויות יסוד ויישומן במהלכי משחק ובמשפטי תנועה ו/או כללי לשיפור יכולות מוטוריות. פיתוח ושמירה על כושר גופני תוך הדגשה מיצוי היכולת האישית, ההנאה והתועלת הבריאותית במעגל החיים. יכולת בחירה מושכלת של תחומי התמחות ושליטה בפעילויות שנבחרו. ידע עיוני בנושאי החינוך הגופני ובמוטוריקה של תנועת האדם. טיפוח יחסי גומלין בין השותפים בתהליך ההוראה (בין התלמיד לחבריו ובין המורה לתלמידיו) תוך הדגשת שיתוף פעולה, עבודת צוות, שוויון הזדמנויות בין המינים, סבלנות, סובלנות והגינות בספורט. 
מעשי: אתלטיקה קלה והתעמלות, משחקי כדור, ריקוד, משחקי נופש וכושר גופני.","שני שיעורים. השתתפות קבועה. הגעה בזמן, להשתתף עד הסוף לפי הכללים, ביגוד ספורטיבי ונוח, נעלי ספורט והכי חשוב... אנרגיות חיוביות ורצון ללמוד וליהנות.",חינוך גופני,,FALSE,,
המקהלה הדמוקרטית,לימור עזריה,ה-ו ,"המקהלה הדמוקרטית שמחה לקבל אל שורותייה את כל מי שאהבת המוזיקה
והשירה שוכנת בליבו. אז מה נעשה? נשיר יחד וגם לבד (סולו) שירים ידועים
ומקוריים, נתמוךבפרויקטים ובטקסי בית הספר, נלמד יסודות בפיתוח קול, שירי
סולפז' , שירי חגים , תיגוף (תיפוף על גוף), כיצד מגישים ומגישות שיר, ננוע
וניצור ""העמדה"", נצפה ונאזין למקהלות מהארץ ומהעולם","קלסר ובו 10 שמרדפים, קלמר, נוכחות ונכונות לעבודה בקבוצה.",מוזיקה,TRUE,"חט""ב ומעלה",2,"בעלי.ות סבלנות,, נכונות לעזור באירגון גם בחזרות ולקראת הופעות. "
מחזמר,לימור עזריה,"ה-חט""ב","בקורס זה נתנסה בעבודה על שירים מתוך מחזות זמר ועל מחזמר מקורי.בקורס
נתנסה בפיתוח מיומנויות הקשורות לעבודה על מחזמר כמו: שירה בקבוצה, שירת
סולו, תנועה, שילוב של תנועה ושירה, למידת השירים החדשים. מטרתנו להעלות
אותו במסגרת בית הספר ואולי אף מחוצה לו.","קלסר ובו 10 שמרדפים, קלמר, נוכחות ונכונות לעבודה בקבוצה.",מוזיקה,TRUE,"חט""ב ומעלה",2,"בעלי.ות סבלנות,, נכונות לעזור באירגון גם בחזרות ולקראת הופעות. "
"""הפרויקט המוזיקלי""",לימור עזריה,"ה-חט""ב",  איזה פרויקט מוזיקלי ברצוננו להרים?האם  להפוך שירי ילדים לשירי רוק?אולי בכלל לשיר מתווים?אולי פרויקט התנדבות מוזיקלי?כשנפגש נחליט!,"קלמר, נוכחות ונכונות לעבודה בקבוצה.",מוזיקה,TRUE,"חט""ב ומעלה",2,"בעלי.ות סבלנות,, נכונות לעזור באירגון גם בחזרות ולקראת הופעות. "
ספורט - כדורשת בנות ה-ו,אושרי,בנות ה-ו,"בשיעורי החינוך הגופני של בנות ה’-ו’ נתמקד בלמידה הדרגתית ומעמיקה של משחק הכדורשת – משחק קבוצתי שמפתח כישורים גופניים, רגשיים וחברתיים כאחד.

באמצעות תרגול מובנה ומשחקים חווייתיים נפתח מיומנויות של שליטה בכדור, דיוק במסירה, תנועה במרחב, קפיצה, תקשורת קבוצתית, קבלת החלטות בזמן אמת ועבודת צוות",נעלי ספורט ובגדי ספורט,,FALSE,,,
אומנות טכניקות ,אסף רופא,,"מהיכן מגיעים הרעיונות לציור מעניין.מה הדרך ליצור תחושה שך תלת מימד ונפח בציור.מהם צבעים חמים ,קרים,משלימים.כיצד מציירים בצבעי מים.כיצד רושמים נוף,פנים ,טבע דומם. נראה ביחד עבודות של אמנים מכל תרבויות העולם ונגלה ביחד את עולם האומנות שכל חשוב לנפש האדם",הגעה בקביעות לכל השיעורים. והגשת עבודות ,,TRUE,,,
סטודיו  לאומנות ,אסף רופא,,"אחת לשבוע חדר אומנות פועל בשביל בית הספר ביחד ניצור פסלים מחומרים ממוחזרים,ציורי קיר אריחי קרמיקה ,שלטים למקומות השונים וכל מה שיוסיף למראה בית בית הספר .פתוח לכולם אין צורך במיומנות אומנותית כל שהיא ",פשוט להגיע ולהיות שותף לעשיה ,,TRUE,,,
תכנות מיינקראפט,יובל שחף,ה-ו וחטב,"הקורס הוא מבוא לתכנות שכולו במיינקראפט! כן מייקראפט! בקורס זה לא נשחק כמו שאתם מכירים אך נלמד דמות אשר תקבל מאיתנו פקודות להשלמת משימות מעניינות ומגוונות. נלמד את עקרונות התכנות בבלוקים, ובהמשך נתקדם לכתיבת קוד בפייטון. השיעורים יכללו גם לימוד תיאורטי במליאה וגם עבודה עצמית והתקדמות בקצב אישי.",מתאים לכל אלו הרוצים להבין מה זה מחשב ואיך אפשר ללמד מחשב לפתור בשבילנו משימות מורכבות במהירות רבה. אין דרישות קדם לקורס אלא רק רצון ללמוד ולפצח אתגרים מעניינים בצורה מהנה :),טכנולוגיה,FALSE,,,
שיחת בנים בנות,סיגל דרור/ריטה   נגה ויגודה/אלכס פרידמן,ה-ו  ,"במסגרת מפגשים חברתיים אנו ערים לצורך במרחב שבו המכנה המשותף הוא מגדרי. נקיים שיחות על נושאים חשובים שנעלה יחד, נפתור יחד סוגיות אשר יעלו מתוך הצורך החברתי. ","מפגש שבועי
נוכחות חובה בכל המפגשים, אפשר לפרוש או להצטרף במחצית.
 אי אפשר להצטרף במהלך המחצית הראשונה או השנייה.
",,FALSE,,,
קופה ישראלית ,שרון הנסב,ה-ו,"בקורס זה נצפה במבחר פרקים מתוך הסדרה המוקומנטרית ""קופה ראשית"", אשר מציגה דמויות ומצבים הלקוחים מהחברה הישראלית. במהלך ולאחר הצפיה ננתח ונדון כיצד כל אלו מגולמים בחיי היומיום שלנו ומהי חשיבותם.",הגעה קבועה ונוכחות רציפה.,,FALSE,,,
חיים בראי  הקולנוע,שרון הנסב,ה-ו,"בקורס זה נצפה, נדון וננתח מבחר סרטים המתקשרים לנושאים הרלוונטיים לחיי היומיום ובעלי מסרים המתקשרים למתרחש סביבנו.",הגעה קבועה ונוכחות רציפה.,,FALSE,,,
ניצן ופרח,סיגל דרור  חן ארד,ו',"במסגרת שנת המצווה של תלמידי כיתה ו', אחת לשבוע.במחצית הראשונה תתקיים תוכנית חונכות אישית עם תלמידי כיתה א'. החונכות תתבצע במפגש שבועי של שיעור אחד.
תוכנית זו היא הזדמנות ייחודית לקחת אחריות, לתכנן ולהוביל פעילות מותאמת, לגלות גמישות, לפתח רגישות לצרכיו של האחר, לשמש דוגמה אישית ולהתנסות בכישורי מנהיגות.

בנוסף ,יתקיימו במחצית השנייה פרויקטים מגוונים,  בעלי ערך ותוכן חברתי-קהילתי, אשר יאפשרו התנסות בעשייה ייחודית עם מימד ערכי וחינוכי","מחוייבות אישית, התמדה, רצון להיות חלק מתוכנית שנתית חשובה זו.",,FALSE,,,
שעשועי מדע,בנימין נורי,ה-ו,"נצא למסע סקרן ומלא חוויות בעולם המדע!
נגלגל כדורים ונבדוק מי מגיע ראשון, נגלה איך מגנטים נמשכים (או דווקא דוחים), נבנה שעון שמש קטן, ניצור קשת צבעים ונחקור איך כדור הארץ זז ומשתנה.
בכל שיעור מחכה לכם ניסוי, חידה או משחק שיגלו לכם סוד חדש על העולם – וכל זה בדרך כיפית, יצירתית ומלאת הפתעות.
","קלמר, מחברת וסרגל",,FALSE,,,
גוף האדם -המכונה המופלאה,בנימין נורי,ה-ו,"מסע מרתק אל גוף האדם – המכונה המופלאה בעולם
במהלך השנה נצא למסע סקרן ומפתיע אל תוך הגוף שלנו: נכיר את האיברים, נגלה איך הם עובדים יחד בהרמוניה מושלמת, ונבין איך אנחנו נושמים, אוכלים, מרגישים וחושבים.
דרך ניסויים, משחקים ופעילויות מהנות נחקור את הקשר המיוחד בין הגוף לרגש – איך הלב והמוח משתפים פעולה כדי ליצור את התחושות והתגובות שלנו.
יחד נגלה לא רק איך הגוף פועל, אלא גם מה אפשר לעשות כדי לשמור עליו חזק, בריא ושמח – מבחוץ ומבפנים.
","מחברת וקלמר, נכונות לעבודה בקבוצה",מדעים,FALSE,,,
תאטרון: חיות במה,נעמה ברמן,ה'-ו',"אוהבים את הבמה? אוהבות לאלתר ולהשתטות, להמציא דמויות וסיפורים? 
מרגישים שבא לכם להיות הכי עצמכם או להיות מישהי אחרת לגמרי? הגעתם למקום הנכון. 
בקורס נלמד איך שחקן.ית מספר.ת סיפור דרך הגוף, הקול והדמיון.  
נתרגל טכניקות של אילתור ושחרור, בניית דמויות ונעבוד על כתיבה והמחזה של סצנות מקוריות או קיימות (מסדרות, מסרטים ומהצגות).  ","נוכחות מלאה, עבודה קבוצתית ושיתוף פעולה.

ציוד נדרש: בגדי תנועה (חולצה ומכנסיים נוחים בצבע שחור/כהה), בקבוק מים, מחברת וכלי כתיבה.  

אין צורך בידע קודם, הקורס מתאים לכל מי שחיידק הבמה פועם בליבו! ",תאטרון,FALSE,,,
מרחב שפה,"אירית גילר ,ריטה ישראילוב , סיגל דרור",ה-ו,"השנה ייפתח מרחב שפתי לילדי היסודי ברוח הגישה המונטסורית..המרחב יאפשר לכל תלמיד ותלמידה לקדם מיומנויות שפתיות בקצב אישי, תוך עבודה בקבוצות קטנות. הדגש יהיה על פיתוח לומד עצמאי, סקרן ובעל מוטיבציה פנימית.
הלמידה תתקיים סביב נושאים תקופתיים, מתוך חיבור לעולמם של הילדים.
המורות במרחב יעניקו מענה מותאם אישי ויעקבו אחר ההתקדמות והבחירות של כל תלמיד ותלמידה.","נדרשת נוכחות קבועה בכל שלוש השעות השבועיות ושמירה על כללי הקורס כפי שיוגדרו  בתחילת השנה, ביצוע מטלות לימודיות בכיתה.    ציוד נדרש-שתי מחברות שורה אחת A4, קלמר ובו טושים, עפרונות, מחדד, מחק, עט פיילוט שחור, מדגשים (צהוב, ירוק, תכלת) ותיק מהנדס פלסטיק. (לוח קשיח) עם שם. ",עברית,TRUE,ז ומעלה,4,
"מועדון שחמט
",חן ארד,א-יב,"המועדון פועל כמרכז רב גילאי אליו מוזמנים.ות בשמחה כל אלו שהמשחק מעניין מרגש ומסקרן אותם.ן
גם ילדים.ות שאינם יודעים לשחק עדיין מוזמנים להגיע, לצפות, ללמוד מחברים וליהנות.
מועדון השחמט הוקם בעקבות טורניר שח שהוכיח כמה השחמט הינו משחק ותיק ועם זאת עדיין מרגש ומרתק ילדים רבים. הטורניר פרי יוזמתו של תלמיד בכיתה ו, סחף אחריו עשרות משתתפים בגילאים שונים. איזה כיף :)
","סקרנות, ושמירה על כללי המרחב :)",שח מט,TRUE,ט ומעלה,2,אחריות ובקיאות בכללי המשחק
עיצוב בסביבה דיגיטלית,חן ארד,ה-ו,"איך משתמשים בפונטים במחשב? מהו עיבוד תמונה?
מהי רזולוציה ואיך מציירים עם עכבר?
בקורס זה, נענה על כל אלו ועוד..
נערוך היכרות עם תוכנות עיצוב שונות,
נתמקצע בעבודה בתוכנות פוטושופ, קאנבה ועוד, 
על ידי עיצוב פרויקטים לדפוס ולסביבת מסך.","השתתפות קבועה ופעילה במפגשים,
חובה ידע בסיסי בתפעול מחשב ובאנגלית.
סקרנות וחיוך",טכנולוגיה,TRUE,,45689,"היכרות עם תוכנות אדובי 
שליטה בסביבת מסך
אחריות
ח' ומעלה"
"אנימציית
סטופ-מושן
Stop-motion animation
",חן ארד,ה-ו,"מהי אנימציית סטופ-מושן?
במה היא שונה מצילום וידאו?
כמה זמן אורכת הפקת סרט באורך מלא?
ואיך גורמים לפלסטלינה לזוז??
בקורס זה נלמד לשלוט בטכניקת אנימציית הסטופ-מושן. נכיר בימאים בולטים בתחום, נראה סרטים וקליפים שנעשו בטכניקה זו ויותר חשוב, נכין כמה בעצמינו.
נתרגל יצירת אשליית תנועה בדרכים שונות ובחומרים שונים, נספר סיפורים ונפיח חיים בחפצים דוממים.
","יצירתיות, יכולת עבודה בצוות.
הומור, סבלנות וחשיבה יצירתית.
גישה לטלפון חכם בבית (לא צריך בשיעור עצמו).",העשרה,TRUE,,2,"תלמידים.ות שעשו קורס בעבר , חטב ומעלה"
"בין איור לציור
(בין טקסט לתמונה)",חן ארד,ה-ו,"מה מבדיל איור מציור? האם מאייר חייב לצייר?
ומה חשוב יותר, התמונה או הטקסט?
בקורס נכיר מאיירים מעניינים, סוגי איור שונים כגון איור ספרים, עיתונות, קריקטורה ועיצוב דמויות.
כמו כן,  נתנסה בטכניקות שונות ומשונות, נלמד להסביר בתמונות,  לתאר בצבעים, להחיות כתמים ולשיר עם מספריים , ונעוף על כנפי הדמיון.
","יצירתיות ודמיון
נוכחות והשתתפות פעילה במפגשים.
ביצוע מטלות הבית והכיתה.
מחברת חלקה
קלמר מלא כל טוב:
(עפרונות, מספריים, דבק סטיק,
צבעים/טושים , עט פרמננט שחור)",העשרה,FALSE,,,
מחול,אורטל האפרתי,ה-ו,"קורס המחול לתלמידי ה-ו יפתח צוהר לעולם התנועה והביטוי האישי דרך הגוף. במהלך המפגשים נכיר מושגים וסגנונות שונים מעולם המחול, נתנסה ביצירה ובאלתור ונלמד על תפקידים שונים בעולם המחול ועל מחול כמקצוע. הקורס מזמין את התלמידים לגלות את השפה הייחודית של הגוף, לפתח מודעות תנועתית ולחוות יצירה משותפת ומהנה. במהלך הקורס נצא למסע מרתק ותנועתי. מחכה לכם","לקורס מגיעים במכנסים נוחים וללא ג׳ינס, נוכחות והשתתפות פעילה במפגשים חובה, כדאי להביא מחברת וכלי כתיבה.",תנועה,TRUE,חט״ב,1,
FIRST Lego ,נדב ליננברג,ה-ו,"FIRST® LEGO® Challenge חושפת את התלמידים לעולם של אתגרים הנדסיים, על ידי תכנון, תכנות ובניית רובוט אוטונומי המבצע משימות על גבי לוח משימה ייחודי. במהלך השנה נתמודד מול אתגר אמיתי מהעולם בנושא שיבחר על ידי FIRST LEGO. הקבוצה תידרש לעמוד באתגרים של תכנון משימה ושיתוף פעולה. תכנות הרובוט בצורה אוטונומית ובנוסף מחקר וסיכום עיוני בנושא הנבחר והצגתו.","דרישות: התוכנה בה נעבוד תהיה בשפה האנגלית (אין דרישה לדעת לקרוא, אבל לא לפחד מאותיות מוזרות). שימו לב- יהיה המון כיף בקורס אבל יהיו גם חלקים עיוניים ודרישה לכתיבת עבודה במסגרת קבוצתית",טכנולוגיה,FALSE,,,
מסביב לעולם,אירית גילר  ,ה-ו,"קורס חווייתי ומעשיר המזמין למסע של גילוי, חקר והרפתקה. נחקור יבשות, ארצות קרובות ורחוקות, תרבויות, טבע היסטוריה ומנהגים. דרך למידה, יצירה וחוויה  נפתח דלת לעולמות חדשים ונרחיב אופקים! נקרא טקסטים מסוגים שונים, נתרגל ונפתח מיומנויות שפה מגוונות ונעשיר אוצר מילים וידע עולם.","סקרנות, קלמר ומחברת שורות, אנחנו נטייל בעולם נכין אוכל, נצייר, נכתוב ונשחק!",עברית,FALSE,,,
